Date	Open	High	Low	Close	Volume
08/06/2020 16:30:00	141.39	141.42	141.07	141.4	2824
09/06/2020 16:30:00	141.85	141.85	140.42	141.16	43963
10/06/2020 16:30:00	141.53	142.06	140.3	140.3	5384
11/06/2020 16:30:00	138.43	138.43	135.79	135.97	7774
12/06/2020 16:30:00	134.37	136.21	133.35	134.24	8394
15/06/2020 16:30:00	130.97	132.72	132.39	133.56	6099
16/06/2020 16:30:00	137.1	139.35	136.72	137.68	3291
17/06/2020 16:30:00	138.1	138.99	137.9	137.95	3657
18/06/2020 16:30:00	137.67	138.3	136.87	137.73	4472
19/06/2020 16:30:00	138.48	139.35	138.27	138.27	6971
22/06/2020 16:30:00	137.33	137.8	137.11	137.62	23764
23/06/2020 16:30:00	138.9	139.88	138.24	139.8	15687
24/06/2020 16:30:00	137.99	137.99	135.6	135.6	3712
25/06/2020 16:30:00	135.38	136.03	134.58	135.85	6403
26/06/2020 16:30:00	136.79	136.79	134.88	134.88	186360
29/06/2020 16:30:00	134.56	135.41	134.27	135.58	9127
30/06/2020 16:30:00	135.83	136.84	135.26	136.46	5730
01/07/2020 16:30:00	137.41	137.78	135.82	137.18	7281
02/07/2020 16:30:00	138.92	140.31	138.87	139.34	27342
03/07/2020 16:30:00	139.22	139.26	138.57	138.72	1389
06/07/2020 16:30:00	141.59	141.65	141.19	141.8	4341
07/07/2020 16:30:00	141.28	141.64	140.07	141.57	5191
08/07/2020 16:30:00	140.3	141.08	140.01	140.29	6991
09/07/2020 16:30:00	141.57	141.8	139.4	139.63	5031
10/07/2020 16:30:00	139.44	141.02	139.44	140.81	5836
13/07/2020 16:30:00	142.83	143.76	142.21	143.67	6244
14/07/2020 16:30:00	140.86	141.21	139.8	141.21	19889
15/07/2020 16:30:00	142.86	143.98	142.86	143.66	1845
16/07/2020 16:30:00	141.97	142.91	141.97	142.63	339
17/07/2020 16:30:00	142.71	143.31	142.49	143.33	4354
20/07/2020 16:30:00	142.59	144.05	142.51	143.98	23010
21/07/2020 16:30:00	145.45	146.02	145.45	145.69	1509
22/07/2020 16:30:00	144.87	145.38	144.06	145.09	8007
23/07/2020 16:30:00	146.08	146.34	145.44	145.56	1294
24/07/2020 16:30:00	143.17	143.44	142.69	143.44	10003
27/07/2020 16:30:00	143.52	144.21	143.52	144.07	2821
28/07/2020 16:30:00	144.64	144.69	143.54	144.56	5464
29/07/2020 16:30:00	144.19	145.02	144.19	144.95	2691
30/07/2020 16:30:00	144.24	144.24	142.49	143.35	3748
31/07/2020 16:30:00	144.85	144.95	143.41	143.41	27464
03/08/2020 16:30:00	145.6	145.6	145.6	145.6	17
04/08/2020 16:30:00	146.16	146.16	145.03	146.11	126734
05/08/2020 16:30:00	146.82	147.6	146.82	147.6	28363
06/08/2020 16:30:00	147.47	147.47	146.61	146.91	26225
07/08/2020 16:30:00	147.09	147.44	147.07	147.26	41564
10/08/2020 16:30:00	147.28	147.78	147.09	147.26	54604
11/08/2020 16:30:00	148.66	149.39	148.43	148.82	1255
